Article Name,Link,Meta Text,Date,,
The resurgence of Bombay Gas,https://www.livemint.com/Industry/CJECX0ogKOqSQ2B2dMF4uI/The-resurgence-of-Bombay-Gas.html,Bombay Gas is using its pipeline network that can offer seamless connectivity and broadband coverage to customers of telecom companies,"January 11, 2016",,
"Looking to put up 40,000 small cells from 4,000 in next 5 years: CloudExtel CEO",https://telecom.economictimes.indiatimes.com/news/cloudextel-deploys-4000-small-cell-sites-for-telcos-kunal-bajaj/92327902,"""We are looking at our base growing from 4000 small cells to 40000 small cell sites in the next five years. That's a conservative projection, obviously, we believe and hope that we can do a lot more than that, but that will require well over 400-500 crores for us to really pull that off, and that's where the opportunity to scale and build a substantial network,"" said Bajaj.","June 20, 2022",,
Small cells to play a major role in Indian telcos' network expansion: CloudExtel,https://telecom.economictimes.indiatimes.com/news/small-cells-to-play-a-major-role-in-indian-telcos-network-expansion-cloudextel/92343443,"""The small cell sites that exist today across the country are addressing the challenges being faced by the 4G network. And certainly, you will continue to see a lot of growth driven even just by 4G, before 5G starts becoming mainstream. And so even in the next few years, we continue to see small cells playing a major role in how network expansion and network investments are going to be done by all three of the telecom operators,"" Bajaj said.","June 20, 2022",,
CloudExtel appoints former Vodafone Idea exec Deepak Saxena as SVP of wireline services,https://telecom.economictimes.indiatimes.com/news/cloudextel-appoints-former-vodafone-idea-exec-deepak-saxena-as-vp-of-wireline-services/92428645,"""We are delighted to welcome Deepak Saxena as Senior Vice President, Wireline Services. He will be a part of the core leadership team of CloudExtel and will be responsible for scaling and accelerating NaaS for Telecom Service Providers (TSPs), Internet Service Providers (ISPs), data centres, and prominent OTT players,"" the firm said in an update on Linkedin.","June 24, 2022",,
New tech to help provide faster internet access on Mumbai's rail network,https://telecom.economictimes.indiatimes.com/news/new-tech-to-help-provide-faster-internet-access-on-mumbais-rail-network/93764674,"The company's founder and chief executive Kunal Bajaj said it has already fixed up the equipment at the Mumbai Central railway station, and claimed that the results have been very satisfactory with higher data speeds.","August 25, 2022",,
India’s first neutral shared RAN solution launched at Mumbai Central railway station,https://www.livemint.com/news/india/indias-first-neutral-shared-ran-solution-launched-at-mumbai-central-railway-station-11661471905586.html,The success of the shared RAN solution holds promises for the customers of such highly populated and highly crowded areas to have better mobile data usage experience,"August 26, 2022",,
"RailTel, CloudExtel partners to launch India's first neutral Shared RAN solution",https://cio.economictimes.indiatimes.com/news/corporate-news/railtel-cloudextel-partners-to-launch-indias-first-neutral-shared-ran-solution/93790208,"RailTel, a CPSU of the Ministry of Railways and CloudExtel, a known Full Stack Network as a Service (NaaS) Provider have partnered together to launch India's first Shared Radio Access Network (RAN) solution for congested locations with the objective of enhancing telecom users' experience.","August 26, 2022",,
This startup is using abandoned gas pipelines from 1800s to ease telecom traffic via network as a service,https://www.businessinsider.in/business/startups/this-startup-is-using-abandoned-gas-pipelines-from-1800s-to-ease-telecom-traffic-via-network-as-a-service/articleshow/96809621.cms,"CloudExtel took over old gas pipelines, excavated and cleaned them and laid over 200 kilometres of fibre in South Bombay…","January 7, 2023",,
This business is utilizing abandoned gas pipelines from the 1800s to help with telecom traffic via network as a service,https://www.businessoutreach.in/gas-pipelines-from-the-1800s-to-help/,"CloudExtel installed 4000 small cell sites throughout 325 cities and towns, in addition to building over 4000 kilometers of fiber across…","January 7, 2023",,
Macquarie Capital invests $100 mn in India's CloudExtel to pick up majority stake,https://telecom.economictimes.indiatimes.com/news/telecom-equipment/macquarie-capital-invests-100-mn-in-indias-cloudextel-to-pick-up-majority-stake/100177463,"“With the rapid growth of digitalisation, better network coverage and capacity is essential to enabling people to stay connected. We are excited to leverage our global experience to support CloudExtel in expanding their telecommunications portfolio as well as enhancing the quality and effectiveness of connectivity for local communities across India,” said Ivan Varughese, senior managing director and head of infrastructure and energy capital, Asia Pacific, Macquarie Capital.","May 12, 2024",,
